Pathway,Metabolite
Fatty acid biosynthesis,(9Z)-Hexadecenoic acid
Fatty acid biosynthesis,3-Oxostearoyl-[acp]
Fatty acid biosynthesis,(3R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein]
Fatty acid biosynthesis,(2E)-Octadecenoyl-[acp]
Fatty acid biosynthesis,Hexadecenoyl-[acyl-carrier protein]
Fatty acid biosynthesis,Long-chain acyl-[acyl-carrier protein]
Fatty acid biosynthesis,n-7 Unsaturated acyl-[acyl-carrier protein]
Fatty acid elongation,Acetyl-CoA
Fatty acid elongation,Acyl-CoA
Fatty acid elongation,Malonyl-CoA
Fatty acid elongation,Butanoyl-CoA
Fatty acid elongation,Palmitoyl-CoA
Fatty acid elongation,Fatty acid
Fatty acid elongation,Hexadecanoic acid
Fatty acid elongation,3-Oxoacyl-CoA
Fatty acid elongation,"2,3-Dehydroacyl-CoA"
Fatty acid elongation,Long-chain fatty acid
Fatty acid elongation,(3S)-3-Hydroxyacyl-CoA
Fatty acid elongation,"trans-2,3-Dehydroacyl-CoA"
Fatty acid elongation,Lauroyl-CoA
Fatty acid elongation,Octanoyl-CoA
Fatty acid elongation,Tetradecanoyl-CoA
Fatty acid elongation,Long-chain acyl-CoA
Fatty acid elongation,2-trans-Dodecenoyl-CoA
Fatty acid elongation,(S)-3-Hydroxyhexadecanoyl-CoA
Fatty acid elongation,3-Oxopalmitoyl-CoA
Fatty acid elongation,(S)-3-Hydroxytetradecanoyl-CoA
Fatty acid elongation,3-Oxotetradecanoyl-CoA
Fatty acid elongation,(S)-3-Hydroxydodecanoyl-CoA
Fatty acid elongation,3-Oxododecanoyl-CoA
Fatty acid elongation,(S)-Hydroxydecanoyl-CoA
Fatty acid elongation,3-Oxodecanoyl-CoA
Fatty acid elongation,(S)-3-Hydroxyoctanoyl-CoA
Fatty acid elongation,3-Oxooctanoyl-CoA
Fatty acid elongation,(S)-Hydroxyhexanoyl-CoA
Fatty acid elongation,3-Oxohexanoyl-CoA
Fatty acid elongation,Hexanoyl-CoA
Fatty acid elongation,trans-Hex-2-enoyl-CoA
Fatty acid elongation,trans-Hexadec-2-enoyl-CoA
Fatty acid elongation,trans-Tetradec-2-enoyl-CoA
Fatty acid elongation,Decanoyl-CoA
Fatty acid elongation,trans-Dec-2-enoyl-CoA
Fatty acid elongation,trans-Oct-2-enoyl-CoA
Fatty acid elongation,Very-long-chain acyl-CoA
Fatty acid elongation,Very-long-chain 3-oxoacyl-CoA
Fatty acid elongation,Very-long-chain (3R)-3-hydroxyacyl-CoA
Fatty acid elongation,"Very-long-chain trans-2,3-dehydroacyl-CoA"
Fatty acid degradation,CoA
Fatty acid degradation,Acetyl-CoA
Fatty acid degradation,Aldehyde
Fatty acid degradation,Butanoyl-CoA
Fatty acid degradation,Palmitoyl-CoA
Fatty acid degradation,Fatty acid
Fatty acid degradation,Primary alcohol
Fatty acid degradation,Acyl-carrier protein
Fatty acid degradation,Hexadecanoic acid
Fatty acid degradation,Acetoacetyl-CoA
Fatty acid degradation,Reduced rubredoxin
Fatty acid degradation,Oxidized rubredoxin
Fatty acid degradation,Glutarate
Fatty acid degradation,Hexadecanal
Fatty acid degradation,Glutaryl-CoA
Fatty acid degradation,Long-chain fatty acid
Fatty acid degradation,1-Hexadecanol
Fatty acid degradation,Crotonoyl-CoA
Fatty acid degradation,(S)-3-Hydroxybutanoyl-CoA
Fatty acid degradation,Alkane
Fatty acid degradation,Lauroyl-CoA
Fatty acid degradation,Octanoyl-CoA
Fatty acid degradation,Tetradecanoyl-CoA
Fatty acid degradation,L-Palmitoylcarnitine
Fatty acid degradation,2-trans-Dodecenoyl-CoA
Fatty acid degradation,omega-Hydroxy fatty acid
Fatty acid degradation,(R)-3-Hydroxybutanoyl-CoA
Fatty acid degradation,alpha-Hydroxy fatty acid
Fatty acid degradation,(S)-3-Hydroxyhexadecanoyl-CoA
Fatty acid degradation,3-Oxopalmitoyl-CoA
Fatty acid degradation,(S)-3-Hydroxytetradecanoyl-CoA
Fatty acid degradation,3-Oxotetradecanoyl-CoA
Fatty acid degradation,(S)-3-Hydroxydodecanoyl-CoA
Fatty acid degradation,3-Oxododecanoyl-CoA
Fatty acid degradation,(S)-Hydroxydecanoyl-CoA
Fatty acid degradation,3-Oxodecanoyl-CoA
Fatty acid degradation,(S)-3-Hydroxyoctanoyl-CoA
Fatty acid degradation,3-Oxooctanoyl-CoA
Fatty acid degradation,(S)-Hydroxyhexanoyl-CoA
Fatty acid degradation,3-Oxohexanoyl-CoA
Fatty acid degradation,Hexanoyl-CoA
Fatty acid degradation,trans-Hex-2-enoyl-CoA
Fatty acid degradation,trans-Hexadec-2-enoyl-CoA
Fatty acid degradation,trans-Tetradec-2-enoyl-CoA
Fatty acid degradation,Decanoyl-CoA
Fatty acid degradation,trans-Dec-2-enoyl-CoA
Fatty acid degradation,trans-Oct-2-enoyl-CoA
Fatty acid degradation,"trans,cis-Lauro-2,6-dienoyl-CoA"
Fatty acid degradation,"cis,cis-3,6-Dodecadienoyl-CoA"
Fatty acid degradation,Long-chain acyl-[acyl-carrier protein]
"Cutin, suberine and wax biosynthesis",Hexadecanoic acid
"Cutin, suberine and wax biosynthesis",Long-chain alcohol
"Cutin, suberine and wax biosynthesis",Feruloyl-CoA
"Cutin, suberine and wax biosynthesis",Long-chain aldehyde
"Cutin, suberine and wax biosynthesis",(9Z)-Octadecenoic acid
"Cutin, suberine and wax biosynthesis",Alkane
"Cutin, suberine and wax biosynthesis",Ketone
"Cutin, suberine and wax biosynthesis",Secondary alcohol
"Cutin, suberine and wax biosynthesis",Wax ester
"Cutin, suberine and wax biosynthesis",Long-chain acyl-CoA
"Cutin, suberine and wax biosynthesis",Docosanoic acid
"Cutin, suberine and wax biosynthesis","10,16-Dihydroxyhexadecanoic acid"
"Cutin, suberine and wax biosynthesis",16-Feruloyloxypalmitate
"Cutin, suberine and wax biosynthesis",16-Hydroxypalmitate
"Cutin, suberine and wax biosynthesis","9,10-Epoxystearate"
"Cutin, suberine and wax biosynthesis",16-Oxopalmitate
"Cutin, suberine and wax biosynthesis",Hexadecanedioate
"Cutin, suberine and wax biosynthesis",18-Hydroxyoleate
"Cutin, suberine and wax biosynthesis",18-Oxooleate
"Cutin, suberine and wax biosynthesis","Octadec-9-ene-1,18-dioic-acid"
"Cutin, suberine and wax biosynthesis","9,10-Epoxy-18-hydroxystearate"
"Cutin, suberine and wax biosynthesis","9,10,18-Trihydroxystearate"
"Cutin, suberine and wax biosynthesis","9,10-Dihydroxystearate"
"Cutin, suberine and wax biosynthesis",22-Hydroxydocosanoate
"Cutin, suberine and wax biosynthesis",22-Oxodocosanoate
"Cutin, suberine and wax biosynthesis",Docosanedioate
"Cutin, suberine and wax biosynthesis",Diketone
Mycolic acid biosynthesis,Acetyl-CoA
Mycolic acid biosynthesis,D-Glucose
Mycolic acid biosynthesis,Malonyl-CoA
Mycolic acid biosynthesis,Acyl-carrier protein
Mycolic acid biosynthesis,"alpha,alpha-Trehalose"
Mycolic acid biosynthesis,Malonyl-[acyl-carrier protein]
Mycolic acid biosynthesis,Long-chain acyl-CoA
Mycolic acid biosynthesis,Apo-[acyl-carrier protein]
Mycolic acid biosynthesis,Long-chain acyl-[acyl-carrier protein]
Mycolic acid biosynthesis,Very-long-chain acyl-CoA
Mycolic acid biosynthesis,Glucose monomycolate
Mycolic acid biosynthesis,Very-long-chain alpha-carboxyacyl-CoA
Mycolic acid biosynthesis,Long-chain 3-oxoacyl-[acyl-carrier protein]
Mycolic acid biosynthesis,Long-chain (3R)-3-hydroxyacyl-[acyl-carrier protein]
Mycolic acid biosynthesis,Long-chain trans-2-enoyl-[acyl-carrier protein]
Mycolic acid biosynthesis,Very-long-chain acyl-[acyl-carrier protein]
